Species,Common Name,Order,Body Mass,Brain Mass,Neurons Cortex,Non Neurons Cortex,Neurons Cerebellum,Non Neurons Cerebellum,Neurons (Rest of Brain),Non Neurons (Rest of Brain),Neurons Whole Brain,Non Neurons Whole Brain,F+H+J,G+I+K
Petrodromus tetradactylus ,Four Toed Elephant Shrew,Afrotheria ,133,1,"339,47,000","404,86,000","1106,53,150","346,57,851","122,31,811","282,04,189","1568,30,795","1033,49,000","1568,31,961","1033,48,040"
Condylura cristata ,Star-nosed mole,Eulipotyphla ,41,0,"172,50,000","320,10,000","1059,20,000","194,80,000","81,60,000","81,60,000","1313,30,000","830,40,000","1313,30,000","596,50,000"
Elephantulus myurus ,Eastern Rock Elephant shrew,Afrotheria ,45,0,"258,65,000","262,29,000","893,12,372","233,68,628","7417,04,844","274043,06,156","1291,90,603","785,94,397","8568,82,216","274539,03,784"
Parascalops breweri ,Hairy-tailed mole,Eulipotyphla ,43,0,"156,90,000","398,70,000","1007,80,000","70,10,000","71,30,000","313,80,000","1236,00,000","782,60,000","1236,00,000","782,60,000"
Mesocricetus auratus ,Hamster,Glires ,168,0,"171,40,000","418,70,000","612,10,000","74,30,000","58,70,000","213,30,000","842,20,000","706,40,000","842,20,000","706,30,000"
Mus musculus ,House Mouse,Glires ,40,0,"136,88,162","120,61,838","422,19,708","69,47,791","119,60,000","148,50,000","678,73,741","338,58,759","678,67,870","338,59,629"
Amblysomus hottentotus ,Golden mole,Afrotheria ,79,0,"215,16,000","213,70,000","344,88,379","81,55,621","90,70,358","168,34,642","650,74,000","466,31,000","650,74,737","463,60,263"
Blarina brevicauda ,Short-tailed shrew,Eulipotyphla ,16,0,"118,76,000","158,20,000","334,30,000","44,10,000","63,40,000","133,20,000","551,90,000","335,50,000","516,46,000","335,50,000"
Sorex fumeus ,Smoky shrew,Eulipotyphla ,8,0,"97,30,000","92,90,000","208,70,000","52,90,000","55,60,000","82,80,000","364,60,000","228,60,000","361,60,000","228,60,000"
Heterocephalus glaber ,Naked mole-rat,Glires ,23,0,"61,51,875","83,98,125","157,42,270","54,82,730","49,81,317","103,10,350","268,75,462","241,91,205","268,75,462","241,91,205"
